run_id,f,beta,theta_deg,mach_number,seed,bfield_geometry,outcome,fragmented,morphology,lambda_W,lambda_W_err,t_frag_tJ,beading_window_tJ,n_peaks_max,wall_sec,hgbs_match
TAG_f1p0_b0p3_t90_m2p5_s2,1.0,0.3,90,2.5,2,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.575,,0,480.5,False
TAG_f1p0_b0p3_t90_m2p5_s3,1.0,0.3,90,2.5,3,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.545,,0,190.2,False
TAG_f1p0_b0p3_t90_m2p5_s4,1.0,0.3,90,2.5,4,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.589,,0,810.9,False
TAG_f1p0_b0p3_t90_m2p5_s5,1.0,0.3,90,2.5,5,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.546,,0,220.2,False
TAG_f1p0_b0p3_t90_m3p0_s1,1.0,0.3,90,3.0,1,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5791,,0,410.4,False
TAG_f1p0_b0p3_t90_m3p0_s2,1.0,0.3,90,3.0,2,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.577,,0,410.4,False
TAG_f1p0_b0p3_t90_m3p0_s3,1.0,0.3,90,3.0,3,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.591,,0,951.0,False
TAG_f1p0_b0p3_t90_m3p0_s4,1.0,0.3,90,3.0,4,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5481,,0,300.3,False
TAG_f1p0_b0p3_t90_m3p0_s5,1.0,0.3,90,3.0,5,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.58,,0,650.7,False
TAG_f1p0_b0p5_t0_m1p0_s1,1.0,0.5,0,1.0,1,longitudinal,FRAG_KILL,True,FULL,10.0677,9.2507,1.3119,0.0899,10,230.3,False
TAG_f1p0_b0p5_t0_m1p0_s2,1.0,0.5,0,1.0,2,longitudinal,FRAG_KILL,True,FULL,6.7578,1.7869,1.3242,0.1085,9,200.2,False
TAG_f1p0_b0p5_t0_m1p0_s3,1.0,0.5,0,1.0,3,longitudinal,FRAG_KILL,True,FULL,8.2598,5.0799,1.35,0.1582,9,250.3,False
