idx,sim_id,morph,f,beta,mach,p_ext,seed,lw,npk,wall,event,t_event,lw_genuine,collapsed,timed_out
229,RCE_f1.5_b0.5_m3.0_p0.0_s3,FULL,1.5,0.5,3.0,0.0,3,,1,1923,GRAV_FRAG,0.08,,True,False
230,RCE_f1.5_b0.5_m3.0_p0.1_s2,FULL,1.5,0.5,3.0,0.1,2,,1,1592,GRAV_FRAG,0.08,,True,False
231,RCE_f1.5_b0.5_m3.0_p0.3_s1,FULL,1.5,0.5,3.0,0.3,1,,1,1262,GRAV_FRAG,0.08,,True,False
232,RCE_f1.5_b0.5_m3.0_p0.1_s3,FULL,1.5,0.5,3.0,0.1,3,,1,1893,GRAV_FRAG,0.08,,True,False
233,RCE_f1.5_b0.5_m3.0_p0.3_s2,FULL,1.5,0.5,3.0,0.3,2,,1,1592,GRAV_FRAG,0.08,,True,False
234,RCE_f1.4_b2.0_m3.0_p0.5_s1,TIMEOUT,1.4,2.0,3.0,0.5,1,,1,7206,TIMEOUT,,,False,True
235,RCE_f1.4_b2.0_m3.0_p0.5_s2,TIMEOUT,1.4,2.0,3.0,0.5,2,,1,7206,TIMEOUT,,,False,True
236,RCE_f1.4_b2.0_m3.0_p0.5_s3,TIMEOUT,1.4,2.0,3.0,0.5,3,,1,7206,TIMEOUT,,,False,True
237,RCE_f1.5_b0.5_m3.0_p0.3_s3,FULL,1.5,0.5,3.0,0.3,3,,1,1893,GRAV_FRAG,0.08,,True,False
238,RCE_f1.5_b0.5_m3.0_p0.5_s1,FULL,1.5,0.5,3.0,0.5,1,,1,1232,GRAV_FRAG,0.08,,True,False
239,RCE_f1.5_b0.5_m3.0_p0.5_s2,FULL,1.5,0.5,3.0,0.5,2,,1,1592,GRAV_FRAG,0.08,,True,False
240,RCE_f1.5_b1.0_m2.0_p0.0_s1,FULL,1.5,1.0,2.0,0.0,1,,1,1442,GRAV_FRAG,0.085,,True,False
241,RCE_f1.5_b1.0_m2.0_p0.0_s2,FULL,1.5,1.0,2.0,0.0,2,,1,1622,GRAV_FRAG,0.085,,True,False
242,RCE_f1.5_b0.5_m3.0_p0.5_s3,FULL,1.5,0.5,3.0,0.5,3,,1,1893,GRAV_FRAG,0.08,,True,False
243,RCE_f1.5_b1.0_m2.0_p0.0_s3,FULL,1.5,1.0,2.0,0.0,3,11.4062,2,1712,GRAV_FRAG,0.085,,True,False
244,RCE_f1.5_b1.0_m2.0_p0.1_s1,FULL,1.5,1.0,2.0,0.1,1,,1,1442,GRAV_FRAG,0.085,,True,False
245,RCE_f1.5_b1.0_m2.0_p0.1_s2,FULL,1.5,1.0,2.0,0.1,2,,1,1622,GRAV_FRAG,0.085,,True,False
246,RCE_f1.5_b1.0_m2.0_p0.3_s1,FULL,1.5,1.0,2.0,0.3,1,,1,1442,GRAV_FRAG,0.085,,True,False
247,RCE_f1.5_b1.0_m2.0_p0.1_s3,FULL,1.5,1.0,2.0,0.1,3,11.4062,2,1712,GRAV_FRAG,0.085,,True,False
248,RCE_f1.5_b1.0_m3.0_p0.0_s2,FULL,1.5,1.0,3.0,0.0,2,,1,301,DT_COLLAPSE,0.075,,True,False
249,RCE_f1.5_b1.0_m2.0_p0.3_s2,FULL,1.5,1.0,2.0,0.3,2,,1,1622,GRAV_FRAG,0.085,,True,False
250,RCE_f1.5_b1.0_m2.0_p0.5_s1,FULL,1.5,1.0,2.0,0.5,1,,1,1412,GRAV_FRAG,0.085,,True,False
251,RCE_f1.5_b1.0_m2.0_p0.3_s3,FULL,1.5,1.0,2.0,0.3,3,11.4062,2,1682,GRAV_FRAG,0.085,,True,False
252,RCE_f1.5_b1.0_m2.0_p0.5_s2,FULL,1.5,1.0,2.0,0.5,2,,1,1622,GRAV_FRAG,0.085,,True,False
253,RCE_f1.5_b1.0_m3.0_p0.1_s2,FULL,1.5,1.0,3.0,0.1,2,,1,301,DT_COLLAPSE,0.075,,True,False
254,RCE_f1.5_b1.0_m3.0_p0.0_s3,FULL,1.5,1.0,3.0,0.0,3,,1,571,DT_COLLAPSE,0.075,,True,False
255,RCE_f1.5_b1.0_m3.0_p0.3_s2,FULL,1.5,1.0,3.0,0.3,2,,1,301,DT_COLLAPSE,0.075,,True,False
256,RCE_f1.5_b1.0_m3.0_p0.1_s3,FULL,1.5,1.0,3.0,0.1,3,,1,571,DT_COLLAPSE,0.075,,True,False
257,RCE_f1.5_b1.0_m2.0_p0.5_s3,FULL,1.5,1.0,2.0,0.5,3,11.4062,2,1712,GRAV_FRAG,0.085,,True,False
258,RCE_f1.5_b1.0_m3.0_p0.5_s2,FULL,1.5,1.0,3.0,0.5,2,,1,301,DT_COLLAPSE,0.075,,True,False
259,RCE_f1.5_b1.0_m3.0_p0.3_s3,FULL,1.5,1.0,3.0,0.3,3,,1,571,DT_COLLAPSE,0.075,,True,False
260,RCE_f1.5_b1.0_m3.0_p0.0_s1,FULL,1.5,1.0,3.0,0.0,1,,1,1712,GRAV_FRAG,0.08,,True,False
261,RCE_f1.5_b1.0_m3.0_p0.5_s3,FULL,1.5,1.0,3.0,0.5,3,,1,571,DT_COLLAPSE,0.075,,True,False
262,RCE_f1.5_b1.0_m3.0_p0.1_s1,FULL,1.5,1.0,3.0,0.1,1,,1,1742,GRAV_FRAG,0.08,,True,False
263,RCE_f1.5_b1.0_m3.0_p0.3_s1,FULL,1.5,1.0,3.0,0.3,1,,1,1712,GRAV_FRAG,0.08,,True,False
