idx,sim_id,morph,f,beta,mach,p_ext,seed,lw,npk,wall,event,t_event,lw_genuine,collapsed,timed_out
117,RCE_f1.3_b1.0_m3.0_p0.5_s1,FULL,1.3,1.0,3.0,0.5,1,,1,1712,GRAV_FRAG,0.08,,True,False
118,RCE_f1.3_b1.0_m3.0_p0.1_s3,FULL,1.3,1.0,3.0,0.1,3,,1,2343,GRAV_FRAG,0.08,,True,False
119,RCE_f1.3_b1.0_m3.0_p0.3_s3,FULL,1.3,1.0,3.0,0.3,3,,1,2433,GRAV_FRAG,0.08,,True,False
120,RCE_f1.3_b1.0_m3.0_p0.5_s3,FULL,1.3,1.0,3.0,0.5,3,,1,2313,GRAV_FRAG,0.08,,True,False
121,RCE_f1.3_b2.0_m2.0_p0.0_s1,TIMEOUT,1.3,2.0,2.0,0.0,1,,1,7206,TIMEOUT,,,False,True
122,RCE_f1.3_b2.0_m2.0_p0.0_s2,TIMEOUT,1.3,2.0,2.0,0.0,2,,1,7206,TIMEOUT,,,False,True
123,RCE_f1.3_b2.0_m2.0_p0.0_s3,TIMEOUT,1.3,2.0,2.0,0.0,3,,1,7206,TIMEOUT,,,False,True
124,RCE_f1.3_b2.0_m2.0_p0.1_s1,TIMEOUT,1.3,2.0,2.0,0.1,1,,1,7206,TIMEOUT,,,False,True
125,RCE_f1.3_b2.0_m2.0_p0.1_s2,TIMEOUT,1.3,2.0,2.0,0.1,2,,1,7206,TIMEOUT,,,False,True
126,RCE_f1.3_b2.0_m2.0_p0.1_s3,TIMEOUT,1.3,2.0,2.0,0.1,3,,1,7206,TIMEOUT,,,False,True
127,RCE_f1.3_b2.0_m2.0_p0.3_s1,TIMEOUT,1.3,2.0,2.0,0.3,1,,1,7206,TIMEOUT,,,False,True
128,RCE_f1.3_b2.0_m2.0_p0.3_s2,TIMEOUT,1.3,2.0,2.0,0.3,2,,1,7206,TIMEOUT,,,False,True
129,RCE_f1.3_b2.0_m2.0_p0.3_s3,TIMEOUT,1.3,2.0,2.0,0.3,3,,1,7206,TIMEOUT,,,False,True
130,RCE_f1.3_b2.0_m2.0_p0.5_s1,TIMEOUT,1.3,2.0,2.0,0.5,1,,1,7206,TIMEOUT,,,False,True
131,RCE_f1.3_b2.0_m2.0_p0.5_s2,TIMEOUT,1.3,2.0,2.0,0.5,2,,1,7206,TIMEOUT,,,False,True
