sim_id,campaign,f,beta,mach,gamma,theta,seed,approach,morphology_ref,runtime_s,returncode,term_reason,morphology,fragmented,lW,lW_method,hgbs_match,t_frag,grav_ratio,n_snaps,n_athdf_kept,n_athdf_purged,error
DTC_CTRL_f0.4_b0.3_M1_s2,P3,0.4,0.3,1.0,1.0,90,2,,,123.1,1,EARLY_FRAG@t=0.430,RADIAL_COLLAPSE,False,,,False,,2121.88,88,0,1,
DTC_CTRL_f0.4_b0.3_M1_s3,P3,0.4,0.3,1.0,1.0,90,3,,,123.1,1,EARLY_FRAG@t=0.440,RADIAL_COLLAPSE,False,,,False,,2278.58,89,0,1,
DTC_CTRL_f0.4_b0.3_M1_s4,P3,0.4,0.3,1.0,1.0,90,4,,,123.1,1,EARLY_FRAG@t=0.445,RADIAL_COLLAPSE,False,,,False,,2428.28,90,0,1,
DTC_CTRL_f0.4_b0.3_M1_s5,P3,0.4,0.3,1.0,1.0,90,5,,,123.1,1,EARLY_FRAG@t=0.435,RADIAL_COLLAPSE,False,,,False,,2131.4,88,0,1,
DTC_CTRL_f0.4_b0.5_M2_s0,P3,0.4,0.5,2.0,1.0,90,0,,,123.1,1,EARLY_FRAG@t=0.350,RADIAL_COLLAPSE,False,,,False,,2865.26,71,0,1,
DTC_CTRL_f0.4_b0.5_M2_s1,P3,0.4,0.5,2.0,1.0,90,1,,,123.1,1,EARLY_FRAG@t=0.350,RADIAL_COLLAPSE,False,,,False,,2869.49,71,0,1,
DTC_CTRL_f0.4_b0.5_M2_s2,P3,0.4,0.5,2.0,1.0,90,2,,,123.1,1,EARLY_FRAG@t=0.350,RADIAL_COLLAPSE,False,,,False,,2946.25,72,0,1,
DTC_CTRL_f0.4_b0.5_M2_s3,P3,0.4,0.5,2.0,1.0,90,3,,,123.1,1,EARLY_FRAG@t=0.360,RADIAL_COLLAPSE,False,,,False,,3433.83,74,0,1,
DTC_CTRL_f0.4_b0.5_M2_s4,P3,0.4,0.5,2.0,1.0,90,4,,,123.1,1,EARLY_FRAG@t=0.365,RADIAL_COLLAPSE,False,,,False,,3701.92,75,0,1,
DTC_CTRL_f0.4_b0.5_M2_s5,P3,0.4,0.5,2.0,1.0,90,5,,,123.1,1,EARLY_FRAG@t=0.365,RADIAL_COLLAPSE,False,,,False,,3359.85,74,0,1,
DTC_f1.6_b0.3_M2_s0,P3,1.6,0.3,2.0,1.0,90,0,,,903.9,1,EARLY_FRAG@t=0.320,PARTIAL,True,,,False,0.2208,318.8,65,0,1,
DTC_f1.6_b0.3_M2_s1,P3,1.6,0.3,2.0,1.0,90,1,,,1204.0,1,EARLY_FRAG@t=0.325,PARTIAL,True,,,False,0.2204,396.07,66,0,1,
DTC_f1.6_b0.5_M1_s0,P3,1.6,0.5,1.0,1.0,90,0,,,2225.0,1,EARLY_FRAG@t=0.375,PARTIAL,True,,,False,0.2855,317.98,76,0,1,
DTC_f1.6_b0.5_M1_s1,P3,1.6,0.5,1.0,1.0,90,1,,,2465.4,1,EARLY_FRAG@t=0.385,PARTIAL,True,,,False,0.2856,317.07,78,0,1,
WIDTH_T_STABLE,P4,0.4,2.0,1.0,1.0,90,0,higher_temperature,STABLE,123.1,1,EARLY_FRAG@t=0.400,RADIAL_COLLAPSE,False,0.9375,hdf5,False,,1241.55,82,9,0,
WIDTH_T_NC,P4,1.1,2.0,3.0,1.0,0,6,higher_temperature,NC,123.1,1,EARLY_FRAG@t=0.250,FULL,True,1.5625,hdf5,False,0.1504,334.99,51,6,0,
WIDTH_rho_STABLE,P4,0.4,2.0,1.0,1.0,90,0,lower_density,STABLE,123.1,1,EARLY_FRAG@t=0.445,RADIAL_COLLAPSE,False,1.0677,hdf5,False,,2999.39,90,9,0,
WIDTH_T_CG,P4,1.1,2.0,2.5,1.0,0,6,higher_temperature,CG,123.1,1,EARLY_FRAG@t=0.265,FULL,True,2.4479,hdf5,False,0.1704,302.17,54,6,0,
WIDTH_rho_CG,P4,1.1,2.0,2.5,1.0,0,6,lower_density,CG,123.1,1,EARLY_FRAG@t=0.305,FULL,True,2.3958,hdf5,False,0.161,622.07,62,7,0,
WIDTH_rho_NC,P4,1.1,2.0,3.0,1.0,0,6,lower_density,NC,123.1,1,EARLY_FRAG@t=0.290,FULL,True,2.4479,hdf5,False,0.1406,667.99,59,6,0,
WIDTH_rho_STOCHASTIC,P4,1.4,2.0,2.0,1.0,90,3,lower_density,STOCHASTIC,243.2,1,EARLY_FRAG@t=0.300,PARTIAL,True,2.1354,hdf5,False,0.206,456.28,61,7,0,
WIDTH_T_STOCHASTIC,P4,1.4,2.0,2.0,1.0,90,3,higher_temperature,STOCHASTIC,303.3,1,EARLY_FRAG@t=0.290,PARTIAL,True,2.0833,hdf5,False,0.2101,325.56,59,6,0,
