run_id,tag,f,beta,mturb,theta,seed,status,runtime_s,lW,lW_status,t_frag,morphology,tau_peak_max,tau_peak_mean,survives_0p1,n_peaks_final,n_peak_events,peak_analysis_status,n_athdf_purged,returncode
RTC_NC_f1p2_b0p5_m3p0_t0_s4,NC,1.2,0.5,3.0,0,4,failed,2110.201477766037,,no_athdf,0.298,RADIAL_COLLAPSE,0.20937391370534897,0.15193078108131886,True,3,4,ok,30,-2
RTC_NC_f1p2_b0p3_m3p0_t0_s3,NC,1.2,0.3,3.0,0,3,failed,4747.673240184784,,no_athdf,0.324001,RADIAL_COLLAPSE,0.2496897131204605,0.13140657792488733,True,4,6,ok,33,-2
RTC_NC_f1p2_b1p0_m3p0_t0_s1,NC,1.2,1.0,3.0,0,1,failed,1296.1085243225098,,no_athdf,0.327,RADIAL_COLLAPSE,0.21898312866687775,0.08689148085457939,True,4,7,ok,33,-2
RTC_NC_f1p2_b0p5_m3p0_t0_s6,NC,1.2,0.5,3.0,0,6,failed,4220.077818155289,,no_athdf,0.321001,RADIAL_COLLAPSE,0.21922758221626282,0.17202223278582096,True,4,4,ok,33,-2
RTC_NC_f1p2_b0p5_m3p0_t0_s5,NC,1.2,0.5,3.0,0,5,failed,5441.153162240982,,no_athdf,0.285001,RADIAL_COLLAPSE,0.20903339236974716,0.11768429726362228,True,4,5,ok,29,-2
RTC_NC_f1p2_b1p0_m3p0_t0_s3,NC,1.2,1.0,3.0,0,3,failed,3888.630283355713,,no_athdf,0.333,RADIAL_COLLAPSE,0.2599908635020256,0.13793107494711876,True,4,6,ok,34,-2
RTC_NC_f1p2_b2p0_m3p0_t0_s1,NC,1.2,2.0,3.0,0,1,failed,859.1218478679657,,no_athdf,0.327,RADIAL_COLLAPSE,0.21985290944576263,0.08691399012293134,True,4,7,ok,33,-2
RTC_NC_f1p2_b1p0_m3p0_t0_s6,NC,1.2,1.0,3.0,0,6,failed,1974.770271062851,,no_athdf,0.301001,RADIAL_COLLAPSE,0.19887829571962357,0.15193270333111286,True,4,4,ok,31,-2
RTC_NC_f1p2_b1p0_m3p0_t0_s4,NC,1.2,1.0,3.0,0,4,failed,4461.80131649971,,no_athdf,0.315001,RADIAL_COLLAPSE,0.22930138558149338,0.13165357410907746,True,3,5,ok,32,-2
RTC_NC_f1p2_b1p0_m3p0_t0_s5,NC,1.2,1.0,3.0,0,5,failed,5245.014706850052,,no_athdf,0.302,RADIAL_COLLAPSE,0.2297355905175209,0.13368476182222366,True,3,5,ok,31,-2
